A1;|;24;HORTIFRUTI DO CHEF LTDA;AV Dr Gastao Vidigal;1946;PV  AMB  BOX  16 B;Vila Leopoldina;Sao Paulo;SP;05314000;12607393000185;147521337116;;03550308
B2;|;S;NF;1;;21179;2728;5102;1100;Carambola;00000000000500;00000070;00000070;00000;00000000000058;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21179;2728;5102;19;Figo;00000000000900;00000100;00000100;00000;00000000000189;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21179;2728;5102;151;Kiwi;00000000000500;00000090;00000090;00000;00000000000047;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21179;2728;5102;114;Limao;00000000006000;00000050;00000050;00000;00000000000144;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21179;2728;5102;124;Manga Palmer;00000000002000;00000300;00000300;00000;00000000000146;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21179;2728;5102;111;Laranja Pera;00000000010000;00020000;00020000;00000;00000000000260;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B1;|;S;NF;1;;21180;2728;;01042019;01042019;5102;;N;00000;;00000000000000;00000;;00000000000000;00000000000000;00000;;00000000000000;00000000000000;00000000000000;0;;00000000000000;0;0;;;;0000000000;0        0;000N0NN;0N0;N;0;N;N;;00000            0;0;;0;0;;
B2;|;S;NF;1;;21180;2728;5102;130;Melancia;00000000010000;00001000;00001000;00000;00000000000169;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;133;Morango;00000000001000;00000400;00000400;00000;00000000000200;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
B2;|;S;NF;1;;21180;2728;5102;1994;Uva Crimson;00000000000500;00001000;00001000;00000;00000000000084;00000000000000;00000000000000;00000000000000;00000000000000;00000;00000000000000;00000;00000000000000;00000000000000;00000000000000;00000;00000000000000;10000;00000000000000;00000000000000;00000000000000;00;00000;00000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00000000000000;00;000;00000;00000000000000;00000000000000;;00000000000000;;;00000000000000;;00000000000000;;;;;;;;;
