A1|24      HORTIFRUTI DO CHEF LTDA                                               AV Dr Gastao Vidigal                    1946  PV  AMB  BOX  16 B  Vila Leopoldina     Sao Paulo           SP0531400012607393000185    147521337116                03550308
B2|SNF 1    21248    2727          5102    062          Shimeji                                           00000000001000000010000000100000000000000000004700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    063          Shitake                                           00000000002000000010000000100000000000000000010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    064          Tomilho                                           00000000000100000010000000100000000000000000000390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    12           Abacaxi                                           00000000002000000010000000100000000000000000000880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    65           Blue Berry                                        00000000000250000000000000000000000000000000001720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    572          Framboesa                                         00000000001000000001000000010000000000000000016900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    151          Kiwi                                              00000000001200000000900000009000000000000000001130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    527          Limao Siciliano                                   00000000002000000010000000100000000000000000002280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    121          Mamao Formosa                                     00000000004000000010000000100000000000000000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    124          Manga Palmer                                      00000000002200000003000000030000000000000000001610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    1102         Melao Orange                                      00000000003000000012000000120000000000000000001740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    188          Melao T06                                         00000000004300000012000000120000000000000000001460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    133          Morango                                           00000000003000000004000000040000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    533          Uva Ttompsom verde                                00000000001000000010000000100000000000000000001690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    536          Uva Thbompson roxa                                00000000001000000010000000100000000000000000001690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    31           Abobrinha Italiana,                               00000000002000000010000000100000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    37           Berinjela                                         00000000002000000010000000100000000000000000000720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    333          Pimentao Amarelo                                  00000000001000000010000000100000000000000000001450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    321          Pimentao Vermelho                                 00000000005000000010000000100000000000000000006950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    356          Tomate Cereja                                     00000000001500000003000000030000000000000000001790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    329          Tomate Molho                                      00000000025000000010000000100000000000000000018250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    356          Tomate Cereja verde                               00000000001500000003000000030000000000000000002970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    356          Tomate Cereja amarelo                             00000000001500000003000000030000000000000000004030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    1006         Alho Descascado                                   00000000001000000010000000100000000000000000001690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    440          Cebola Roxa                                       00000000003000000010000000100000000000000000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    444          Ovo Extra                                         00000000002000000030000000300000000000000000002780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21248    2727          5102    65           Blue Berry fresco                                 00000000000500000000000000000000000000000000008450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B1|SNF 1    21249    2692                10042019100420195102            N00000 0000000000000000000 000000000000000000000000000000000 0000000000000000000000000000000000000000000          000000000000000             0                                           0000000000        000N0NN                                                                                                                                  00000            0                                            
B2|SNF 1    21249    2692          5102    015          Ciboleti                                          00000000000100000010000000100000000000000000000480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    037          Manjericao                                        00000000000300000002000000020000000000000000000660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    058          Salsa                                             00000000000300000010000000100000000000000000000890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    12           Abacaxi                                           00000000006500000010000000100000000000000000002860000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    15           Banana Nanica                                     00000000008000000010000000100000000000000000002880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    1100         Carambola                                         00000000000200000000700000007000000000000000000230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    523          Coco verde                                        00000000007000000010000000100000000000000000002240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    151          Kiwi                                              00000000000300000000900000009000000000000000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    111          Laranja Pera                                      00000000025000000200000002000000000000000000006500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    121          Mamao Formosa                                     00000000002000000010000000100000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    124          Manga Palmer                                      00000000003000000003000000030000000000000000002190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    1102         Melao Orange                                      00000000001500000012000000120000000000000000000870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    188          Melao T06                                         00000000002100000012000000120000000000000000000710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    133          Morango                                           00000000000300000004000000040000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    536          Uva Thompson                                      00000000000500000010000000100000000000000000000840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    36           Batata Doce                                       00000000003000000010000000100000000000000000000730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    37           Berinjela                                         00000000002000000010000000100000000000000000000720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    326          Tomate Salada                                     00000000006000000010000000100000000000000000004380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    361          Cebola Grauda                                     00000000004000000010000000100000000000000000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    440          Cebola Roxa                                       00000000002000000010000000100000000000000000001120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    444          Ovo Extra                                         00000000006000000030000000300000000000000000008340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    543          Ovos Codorna em Conserva                          00000000001000000010000000100000000000000000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    152          Bifum                                             00000000001000000015000000150000000000000000001690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21249    2692          5102    114          Limao                                             00000000005000000000500000005000000000000000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B1|SNF 1    21250    2728                10042019100420195102            N00000 0000000000000000000 000000000000000000000000000000000 0000000000000000000000000000000000000000000          000000000000000             0                                           0000000000        000N0NN                                                                                                                                  00000            0                                            
B2|SNF 1    21250    2728          5102    08           Alho Poro                                         00000000001000000002000000020000000000000000001050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    016          Coentro                                           00000000000200000002000000020000000000000000000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    029          Frizze                                            00000000000500000010000000100000000000000000000870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    034          Hortela                                           00000000000100000002000000020000000000000000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    037          Manjericao                                        00000000000200000002000000020000000000000000000440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    052          Radichio                                          00000000000500000010000000100000000000000000000690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    054          Repolho Roxo                                      00000000002000000010000000100000000000000000001380000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    058          Salsa                                             00000000000300000010000000100000000000000000000890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    516          Ameixa                                            00000000000500000010000000100000000000000000000650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    15           Banana Nanica                                     00000000005000000010000000100000000000000000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    1100         Carambola                                         00000000000500000000700000007000000000000000000580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    523          Coco verde                                        00000000004000000010000000100000000000000000001280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    151          Kiwi                                              00000000000500000000900000009000000000000000000470000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    114          Limao                                             00000000006000000000500000005000000000000000001440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    169          Maca fuji                                         00000000005000000001000000010000000000000000004900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    124          Manga Palmer                                      00000000001500000003000000030000000000000000001090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    127          Maracuja                                          00000000001000000010000000100000000000000000000660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21250    2728          5102    111          Laranja Pera                                      00000000020000000200000002000000000000000000005200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B1|SNF 1    21251    2728                10042019100420195102            N00000 0000000000000000000 000000000000000000000000000000000 0000000000000000000000000000000000000000000          000000000000000             0                                           0000000000        000N0NN                                                                                                                                  00000            0                                            
B2|SNF 1    21251    2728          5102    1102         Melao Orange                                      00000000002000000012000000120000000000000000001160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    188          Melao T06                                         00000000003100000012000000120000000000000000001050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    1994         Uva Crimson                                       00000000000500000010000000100000000000000000000840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    536          Uva Thompson                                      00000000000500000010000000100000000000000000000840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    31           Abobrinha Italiana                                00000000005000000010000000100000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    37           Berinjela                                         00000000003000000010000000100000000000000000001080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    38           Beterraba                                         00000000002000000010000000100000000000000000000540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    310          Cenoura                                           00000000004000000010000000100000000000000000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21251    2728          5102    319          Pepino Japones                                    00000000001500000010000000100000000000000000000780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
