A1|24      HORTIFRUTI DO CHEF LTDA                                               AV Dr Gastao Vidigal                    1946  PV  AMB  BOX  16 B  Vila Leopoldina     Sao Paulo           SP0531400012607393000185    147521337116                03550308
B2|SNF 1    21179    2728          5102    111          Laranja Pera                                      00000000010000000200000002000000000000000000002600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B1|SNF 1    21180    2728                01042019010420195102            N00000 0000000000000000000 000000000000000000000000000000000 0000000000000000000000000000000000000000000          000000000000000             0                                           0000000000        000N0NN                                                                                                                                  00000            0                                            
B2|SNF 1    21180    2728          5102    130          Melancia                                          00000000010000000010000000100000000000000000001690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    133          Morango                                           00000000001000000004000000040000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    1994         Uva Crimson                                       00000000000500000010000000100000000000000000000840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    536          Uva Thompson                                      00000000000500000010000000100000000000000000000840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    36           Batata Doce                                       00000000003500000010000000100000000000000000000860000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    37           Berinjela                                         00000000002000000010000000100000000000000000000720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    310          Cenoura                                           00000000003000000010000000100000000000000000001020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    319          Pepino Japones                                    00000000001500000010000000100000000000000000000780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
B2|SNF 1    21180    2728          5102    333          Pimentao Amarelo                                  00000000000500000010000000100000000000000000000730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                    00000000000000                00000000000000      00000000000000
